Bus_Numbers,Passenger_Number,Iteration_Times,Pheromone,Alpha,Beta,Volatile_Coefficient,Ant_Pheromone_Quality,Ants_Number,Shortest_Line,shortestTime,Cut_Lines,Cut_Times
20,30,100,15,3,3,0.4,115,25,"[4, 1, 7, 9, 14, 19, 8, 16, 2, 18, 13, 6, 15, 5, 0, 11, 12, 3, 10, 17, 4]",353.0564392,"[[7, 9, 14, 19, 8], [16, 2, 18, 13, 6], [15, 5, 0, 11, 12], [3, 10, 17, 4, 1]]",716.8647241
20,30,100,15,3,3,0.4,115,30,"[2, 6, 9, 3, 4, 1, 13, 18, 5, 10, 17, 16, 19, 14, 15, 8, 0, 11, 12, 7, 2]",362.3253452,"[[4, 1, 13, 18, 5], [10, 17, 16, 19, 14], [15, 8, 0, 11, 12], [7, 2, 6, 9, 3]]",714.8709723
20,30,100,15,3,3,0.4,115,35,"[14, 19, 8, 16, 2, 17, 10, 5, 11, 0, 12, 7, 9, 1, 4, 13, 18, 15, 6, 3, 14]",356.5940747,"[[16, 2, 17, 10, 5], [11, 0, 12, 7, 9], [1, 4, 13, 18, 15], [6, 3, 14, 19, 8]]",864.920502
20,30,100,15,3,3,0.4,130,25,"[7, 9, 4, 1, 14, 19, 16, 8, 15, 13, 3, 12, 0, 11, 5, 10, 17, 18, 6, 2, 7]",332.3838905,"[[1, 14, 19, 16, 8], [15, 13, 3, 12, 0], [11, 5, 10, 17, 18], [6, 2, 7, 9, 4]]",779.750398
20,30,100,15,3,3,0.4,130,30,"[18, 13, 6, 2, 14, 19, 8, 15, 4, 1, 9, 7, 11, 0, 12, 3, 5, 10, 17, 16, 18]",331.2601819,"[[14, 19, 8, 15, 4], [1, 9, 7, 11, 0], [12, 3, 5, 10, 17], [16, 18, 13, 6, 2]]",805.1396472
20,30,100,15,3,3,0.4,130,35,"[9, 7, 3, 11, 0, 12, 5, 8, 19, 14, 15, 18, 13, 4, 1, 6, 2, 16, 17, 10, 9]",341.8566367,"[[7, 3, 11, 0, 12], [5, 8, 19, 14, 15], [18, 13, 4, 1, 6], [2, 16, 17, 10, 9]]",777.9577766
20,30,100,15,3,3,0.4,145,25,"[9, 12, 0, 11, 5, 3, 7, 4, 1, 18, 13, 6, 2, 19, 14, 15, 8, 16, 17, 10, 9]",346.2692227,"[[11, 5, 3, 7, 4], [1, 18, 13, 6, 2], [19, 14, 15, 8, 16], [17, 10, 9, 12, 0]]",760.5321519
20,30,100,15,3,3,0.4,145,30,"[19, 14, 16, 8, 10, 17, 4, 1, 9, 7, 3, 12, 0, 11, 5, 18, 13, 6, 2, 15, 19]",358.838458,"[[10, 17, 4, 1, 9], [7, 3, 12, 0, 11], [5, 18, 13, 6, 2], [15, 19, 14, 16, 8]]",718.0299144
20,30,100,15,3,3,0.4,145,35,"[16, 19, 14, 15, 18, 13, 8, 17, 10, 5, 11, 0, 12, 3, 7, 9, 4, 1, 6, 2, 16]",352.7048163,"[[16, 19, 14, 15, 18], [13, 8, 17, 10, 5], [11, 0, 12, 3, 7], [9, 4, 1, 6, 2]]",853.6620703
20,30,100,15,3,3,0.4,160,25,"[8, 14, 19, 16, 2, 15, 13, 18, 3, 5, 0, 11, 12, 7, 4, 1, 9, 6, 10, 17, 8]",360.7883234,"[[14, 19, 16, 2, 15], [13, 18, 3, 5, 0], [11, 12, 7, 4, 1], [9, 6, 10, 17, 8]]",801.1031134
20,30,100,15,3,3,0.4,160,30,"[10, 17, 5, 11, 0, 12, 3, 13, 18, 15, 14, 19, 16, 8, 2, 6, 4, 1, 9, 7, 10]",347.3542456,"[[0, 12, 3, 13, 18], [15, 14, 19, 16, 8], [2, 6, 4, 1, 9], [7, 10, 17, 5, 11]]",825.4048843
20,30,100,15,3,3,0.4,160,35,"[11, 0, 12, 15, 6, 2, 18, 13, 4, 1, 7, 9, 3, 5, 10, 17, 14, 19, 8, 16, 11]",357.567823,"[[0, 12, 15, 6, 2], [18, 13, 4, 1, 7], [9, 3, 5, 10, 17], [14, 19, 8, 16, 11]]",729.8892242
20,30,100,15,3,3,0.4,175,25,"[18, 15, 14, 19, 8, 3, 5, 11, 0, 12, 7, 9, 4, 1, 13, 6, 2, 16, 10, 17, 18]",335.2112105,"[[19, 8, 3, 5, 11], [0, 12, 7, 9, 4], [1, 13, 6, 2, 16], [10, 17, 18, 15, 14]]",767.8016652
20,30,100,15,3,3,0.4,175,30,"[2, 9, 0, 11, 12, 7, 4, 1, 18, 3, 5, 10, 17, 19, 14, 15, 6, 13, 16, 8, 2]",364.009191,"[[0, 11, 12, 7, 4], [1, 18, 3, 5, 10], [17, 19, 14, 15, 6], [13, 16, 8, 2, 9]]",768.6258808
20,30,100,15,3,3,0.4,175,35,"[16, 18, 13, 4, 1, 9, 5, 10, 17, 8, 19, 14, 15, 0, 11, 12, 3, 7, 6, 2, 16]",343.8192421,"[[16, 18, 13, 4, 1], [9, 5, 10, 17, 8], [19, 14, 15, 0, 11], [12, 3, 7, 6, 2]]",708.3978343
20,30,100,15,3,3,0.5,115,25,"[0, 12, 11, 5, 10, 17, 16, 8, 15, 14, 19, 4, 1, 9, 7, 3, 18, 13, 6, 2, 0]",351.6961786,"[[11, 5, 10, 17, 16], [8, 15, 14, 19, 4], [1, 9, 7, 3, 18], [13, 6, 2, 0, 12]]",795.0106249
20,30,100,15,3,3,0.5,115,30,"[2, 19, 14, 15, 18, 13, 4, 1, 9, 7, 3, 12, 0, 11, 5, 10, 17, 16, 8, 6, 2]",347.2415783,"[[19, 14, 15, 18, 13], [4, 1, 9, 7, 3], [12, 0, 11, 5, 10], [17, 16, 8, 6, 2]]",895.0622981
20,30,100,15,3,3,0.5,115,35,"[2, 19, 14, 8, 15, 18, 13, 6, 4, 1, 9, 7, 12, 0, 11, 5, 10, 17, 16, 3, 2]",342.9741654,"[[2, 19, 14, 8, 15], [18, 13, 6, 4, 1], [9, 7, 12, 0, 11], [5, 10, 17, 16, 3]]",885.9597294
20,30,100,15,3,3,0.5,130,25,"[1, 4, 6, 13, 18, 9, 7, 3, 12, 0, 11, 5, 8, 15, 14, 19, 16, 17, 10, 2, 1]",335.9327082,"[[18, 9, 7, 3, 12], [0, 11, 5, 8, 15], [14, 19, 16, 17, 10], [2, 1, 4, 6, 13]]",793.816881
20,30,100,15,3,3,0.5,130,30,"[9, 3, 5, 11, 0, 12, 7, 4, 1, 18, 13, 6, 15, 8, 16, 14, 19, 2, 10, 17, 9]",330.7614282,"[[9, 3, 5, 11, 0], [12, 7, 4, 1, 18], [13, 6, 15, 8, 16], [14, 19, 2, 10, 17]]",776.0987123
20,30,100,15,3,3,0.5,130,35,"[18, 13, 15, 2, 6, 4, 1, 9, 7, 3, 12, 0, 11, 5, 10, 17, 16, 19, 14, 8, 18]",339.1493847,"[[18, 13, 15, 2, 6], [4, 1, 9, 7, 3], [12, 0, 11, 5, 10], [17, 16, 19, 14, 8]]",860.4785001
20,30,100,15,3,3,0.5,145,25,"[18, 13, 6, 1, 4, 7, 3, 12, 0, 11, 5, 10, 17, 8, 19, 14, 15, 2, 16, 9, 18]",336.9131718,"[[6, 1, 4, 7, 3], [12, 0, 11, 5, 10], [17, 8, 19, 14, 15], [2, 16, 9, 18, 13]]",812.1771396
20,30,100,15,3,3,0.5,145,30,"[8, 17, 10, 5, 11, 0, 12, 3, 7, 9, 1, 4, 13, 6, 2, 19, 14, 15, 18, 16, 8]",348.0646773,"[[10, 5, 11, 0, 12], [3, 7, 9, 1, 4], [13, 6, 2, 19, 14], [15, 18, 16, 8, 17]]",905.2655109
20,30,100,15,3,3,0.5,145,35,"[14, 19, 8, 15, 18, 11, 0, 12, 5, 3, 7, 9, 1, 4, 13, 6, 2, 16, 10, 17, 14]",343.5571215,"[[15, 18, 11, 0, 12], [5, 3, 7, 9, 1], [4, 13, 6, 2, 16], [10, 17, 14, 19, 8]]",750.6276021
20,30,100,15,3,3,0.5,160,25,"[8, 19, 14, 2, 16, 17, 10, 5, 11, 0, 12, 3, 7, 9, 4, 1, 6, 15, 13, 18, 8]",338.5991154,"[[14, 2, 16, 17, 10], [5, 11, 0, 12, 3], [7, 9, 4, 1, 6], [15, 13, 18, 8, 19]]",863.1245783
20,30,100,15,3,3,0.5,160,30,"[19, 14, 8, 18, 13, 4, 1, 7, 3, 12, 0, 11, 5, 10, 17, 16, 2, 15, 6, 9, 19]",339.4324838,"[[14, 8, 18, 13, 4], [1, 7, 3, 12, 0], [11, 5, 10, 17, 16], [2, 15, 6, 9, 19]]",849.292743
20,30,100,15,3,3,0.5,160,35,"[2, 18, 12, 0, 5, 3, 4, 1, 9, 7, 11, 10, 17, 8, 15, 14, 19, 16, 6, 13, 2]",349.164908,"[[0, 5, 3, 4, 1], [9, 7, 11, 10, 17], [8, 15, 14, 19, 16], [6, 13, 2, 18, 12]]",759.2284088
20,30,100,15,3,3,0.5,175,25,"[3, 0, 12, 11, 7, 4, 1, 9, 5, 10, 17, 8, 14, 19, 2, 6, 13, 18, 15, 16, 3]",339.7368087,"[[12, 11, 7, 4, 1], [9, 5, 10, 17, 8], [14, 19, 2, 6, 13], [18, 15, 16, 3, 0]]",797.1054913
20,30,100,15,3,3,0.5,175,30,"[13, 15, 0, 11, 5, 12, 18, 1, 4, 9, 7, 3, 10, 17, 8, 19, 14, 16, 2, 6, 13]",342.5500904,"[[11, 5, 12, 18, 1], [4, 9, 7, 3, 10], [17, 8, 19, 14, 16], [2, 6, 13, 15, 0]]",685.5562708
20,30,100,15,3,3,0.5,175,35,"[6, 13, 0, 12, 7, 9, 1, 4, 3, 5, 10, 17, 8, 19, 14, 15, 2, 18, 16, 11, 6]",355.1233608,"[[6, 13, 0, 12, 7], [9, 1, 4, 3, 5], [10, 17, 8, 19, 14], [15, 2, 18, 16, 11]]",747.6678578
20,30,100,15,3,3,0.6,115,25,"[7, 11, 0, 12, 10, 17, 14, 19, 8, 5, 3, 9, 1, 4, 13, 6, 15, 18, 2, 16, 7]",322.5613794,"[[0, 12, 10, 17, 14], [19, 8, 5, 3, 9], [1, 4, 13, 6, 15], [18, 2, 16, 7, 11]]",779.428226
20,30,100,15,3,3,0.6,115,30,"[17, 10, 5, 0, 11, 12, 9, 7, 3, 4, 1, 13, 18, 14, 19, 16, 8, 15, 2, 6, 17]",351.262094,"[[0, 11, 12, 9, 7], [3, 4, 1, 13, 18], [14, 19, 16, 8, 15], [2, 6, 17, 10, 5]]",844.881115
20,30,100,15,3,3,0.6,115,35,"[11, 0, 12, 15, 8, 19, 14, 18, 1, 4, 9, 7, 3, 5, 10, 17, 2, 6, 13, 16, 11]",328.9859635,"[[8, 19, 14, 18, 1], [4, 9, 7, 3, 5], [10, 17, 2, 6, 13], [16, 11, 0, 12, 15]]",714.0405364
20,30,100,15,3,3,0.6,130,25,"[12, 0, 11, 14, 15, 18, 19, 8, 1, 4, 9, 7, 3, 5, 10, 17, 16, 2, 13, 6, 12]",335.9467708,"[[12, 0, 11, 14, 15], [18, 19, 8, 1, 4], [9, 7, 3, 5, 10], [17, 16, 2, 13, 6]]",755.1419858
20,30,100,15,3,3,0.6,130,30,"[6, 13, 14, 19, 8, 17, 10, 5, 3, 9, 1, 4, 18, 15, 2, 16, 0, 11, 12, 7, 6]",325.2917434,"[[6, 13, 14, 19, 8], [17, 10, 5, 3, 9], [1, 4, 18, 15, 2], [16, 0, 11, 12, 7]]",791.691314
20,30,100,15,3,3,0.6,130,35,"[11, 0, 12, 18, 1, 4, 9, 7, 3, 5, 10, 17, 8, 16, 14, 19, 2, 15, 13, 6, 11]",320.7415385,"[[12, 18, 1, 4, 9], [7, 3, 5, 10, 17], [8, 16, 14, 19, 2], [15, 13, 6, 11, 0]]",786.2277421
20,30,100,15,3,3,0.6,145,25,"[4, 1, 9, 7, 3, 12, 0, 11, 5, 10, 17, 8, 19, 14, 15, 18, 13, 6, 2, 16, 4]",331.34495,"[[3, 12, 0, 11, 5], [10, 17, 8, 19, 14], [15, 18, 13, 6, 2], [16, 4, 1, 9, 7]]",805.3568196
20,30,100,15,3,3,0.6,145,30,"[2, 19, 14, 8, 15, 6, 13, 18, 12, 0, 11, 7, 4, 1, 9, 3, 5, 10, 17, 16, 2]",344.5803446,"[[2, 19, 14, 8, 15], [6, 13, 18, 12, 0], [11, 7, 4, 1, 9], [3, 5, 10, 17, 16]]",807.9358116
