Bus_Numbers,Passenger_Number,Iteration_Times,Pheromone,Alpha,Beta,Volatile_Coefficient,Ant_Pheromone_Quality,Ants_Number,Shortest_Line,shortest_Time,Cut_Lines,Cut_Times
30,10,100,15,3,3,0.4,115,25,"[21, 0, 18, 25, 3, 10, 14, 19, 5, 7, 27, 4, 16, 11, 22, 12, 8, 15, 1, 2, 9, 6, 20, 28, 13, 26, 23, 17, 24, 29, 21]",137.4111228,"[[0, 18, 25, 3, 10, 14, 19], [5, 7, 27, 4, 16, 11, 22], [12, 8, 15, 1, 2, 9, 6], [20, 28, 13, 26, 23, 17, 24], [29, 21]]",229.0769395
30,10,100,15,3,3,0.4,115,30,"[18, 0, 8, 24, 1, 15, 2, 20, 6, 13, 19, 26, 3, 25, 14, 10, 17, 16, 27, 7, 5, 4, 23, 11, 29, 22, 28, 9, 21, 12, 18]",135.7516234,"[[0, 8, 24, 1, 15, 2, 20], [6, 13, 19, 26, 3, 25, 14], [10, 17, 16, 27, 7, 5, 4], [23, 11, 29, 22, 28, 9, 21], [12, 18]]",247.8372332
30,10,100,15,3,3,0.4,115,35,"[6, 28, 2, 15, 1, 24, 12, 0, 18, 25, 3, 14, 10, 16, 27, 4, 19, 5, 13, 20, 8, 9, 7, 26, 23, 17, 22, 29, 11, 21, 6]",124.3299248,"[[15, 1, 24, 12, 0, 18, 25], [3, 14, 10, 16, 27, 4, 19], [5, 13, 20, 8, 9, 7, 26], [23, 17, 22, 29, 11, 21, 6], [28, 2]]",144.2867083
30,10,100,15,3,3,0.4,130,25,"[19, 13, 7, 5, 26, 4, 27, 16, 17, 0, 18, 25, 3, 10, 14, 24, 1, 2, 15, 21, 9, 8, 12, 29, 6, 20, 28, 22, 11, 23, 19]",138.8782296,"[[5, 26, 4, 27, 16, 17, 0], [18, 25, 3, 10, 14, 24, 1], [2, 15, 21, 9, 8, 12, 29], [6, 20, 28, 22, 11, 23, 19], [13, 7]]",348.6882892
30,10,100,15,3,3,0.4,130,30,"[4, 26, 19, 5, 7, 16, 17, 8, 12, 24, 15, 2, 28, 21, 9, 13, 20, 6, 27, 23, 29, 22, 11, 18, 0, 25, 14, 3, 10, 1, 4]",110.886009,"[[16, 17, 8, 12, 24, 15, 2], [28, 21, 9, 13, 20, 6, 27], [23, 29, 22, 11, 18, 0, 25], [14, 3, 10, 1, 4, 26, 19], [5, 7]]",223.9029219
30,10,100,15,3,3,0.4,130,35,"[26, 5, 7, 19, 13, 4, 27, 14, 25, 3, 10, 18, 0, 1, 6, 20, 8, 2, 15, 28, 21, 9, 12, 17, 22, 11, 29, 16, 23, 24, 26]",140.9002749,"[[19, 13, 4, 27, 14, 25, 3], [10, 18, 0, 1, 6, 20, 8], [2, 15, 28, 21, 9, 12, 17], [22, 11, 29, 16, 23, 24, 26], [5, 7]]",240.4003489
30,10,100,15,3,3,0.4,145,25,"[7, 5, 26, 0, 18, 8, 24, 1, 2, 15, 9, 25, 12, 17, 16, 13, 19, 4, 27, 23, 3, 14, 10, 6, 20, 28, 21, 22, 11, 29, 7]",130.6791094,"[[26, 0, 18, 8, 24, 1, 2], [15, 9, 25, 12, 17, 16, 13], [19, 4, 27, 23, 3, 14, 10], [6, 20, 28, 21, 22, 11, 29], [7, 5]]",195.3913447
30,10,100,15,3,3,0.4,145,30,"[12, 0, 18, 15, 1, 8, 24, 3, 14, 10, 27, 4, 19, 7, 5, 26, 16, 11, 29, 22, 23, 17, 6, 20, 13, 21, 28, 9, 2, 25, 12]",131.9288803,"[[24, 3, 14, 10, 27, 4, 19], [7, 5, 26, 16, 11, 29, 22], [23, 17, 6, 20, 13, 21, 28], [9, 2, 25, 12, 0, 18, 15], [1, 8]]",171.3349239
30,10,100,15,3,3,0.4,145,35,"[9, 8, 24, 1, 2, 15, 0, 18, 25, 3, 14, 10, 27, 4, 26, 5, 6, 20, 13, 7, 19, 17, 11, 29, 22, 16, 23, 12, 28, 21, 9]",129.7729884,"[[24, 1, 2, 15, 0, 18, 25], [3, 14, 10, 27, 4, 26, 5], [6, 20, 13, 7, 19, 17, 11], [29, 22, 16, 23, 12, 28, 21], [9, 8]]",233.3051186
30,10,100,15,3,3,0.4,160,25,"[2, 0, 12, 8, 15, 1, 21, 28, 6, 20, 19, 26, 5, 3, 10, 14, 25, 18, 4, 27, 16, 22, 29, 11, 7, 13, 23, 9, 24, 17, 2]",143.6254751,"[[2, 0, 12, 8, 15, 1, 21], [28, 6, 20, 19, 26, 5, 3], [10, 14, 25, 18, 4, 27, 16], [22, 29, 11, 7, 13, 23, 9], [24, 17]]",215.9187996
30,10,100,15,3,3,0.4,160,30,"[14, 3, 10, 25, 18, 0, 8, 24, 1, 15, 2, 9, 28, 6, 20, 13, 17, 12, 27, 4, 16, 23, 26, 5, 7, 11, 22, 29, 19, 21, 14]",128.3546039,"[[0, 8, 24, 1, 15, 2, 9], [28, 6, 20, 13, 17, 12, 27], [4, 16, 23, 26, 5, 7, 11], [22, 29, 19, 21, 14, 3, 10], [25, 18]]",234.5870737
30,10,100,15,3,3,0.4,160,35,"[24, 1, 2, 15, 9, 8, 12, 0, 18, 3, 14, 25, 10, 19, 13, 16, 27, 4, 22, 29, 11, 23, 26, 5, 7, 20, 6, 21, 28, 17, 24]",134.2086477,"[[24, 1, 2, 15, 9, 8, 12], [0, 18, 3, 14, 25, 10, 19], [13, 16, 27, 4, 22, 29, 11], [23, 26, 5, 7, 20, 6, 21], [28, 17]]",279.3717281
30,10,100,15,3,3,0.4,175,25,"[10, 3, 14, 25, 0, 18, 8, 12, 1, 15, 2, 28, 6, 20, 13, 19, 7, 5, 26, 4, 27, 16, 17, 11, 22, 29, 23, 24, 9, 21, 10]",137.928383,"[[25, 0, 18, 8, 12, 1, 15], [2, 28, 6, 20, 13, 19, 7], [5, 26, 4, 27, 16, 17, 11], [22, 29, 23, 24, 9, 21, 10], [3, 14]]",373.5404116
30,10,100,15,3,3,0.4,175,30,"[16, 5, 19, 13, 20, 7, 23, 17, 22, 29, 11, 12, 8, 24, 15, 2, 1, 6, 28, 21, 9, 0, 18, 25, 3, 10, 14, 27, 4, 26, 16]",140.1218675,"[[7, 23, 17, 22, 29, 11, 12], [8, 24, 15, 2, 1, 6, 28], [21, 9, 0, 18, 25, 3, 10], [14, 27, 4, 26, 16, 5, 19], [13, 20]]",242.0716668
30,10,100,15,3,3,0.4,175,35,"[27, 4, 13, 19, 8, 15, 2, 0, 18, 25, 3, 1, 24, 16, 17, 5, 26, 7, 23, 22, 11, 6, 20, 21, 9, 28, 12, 14, 10, 29, 27]",131.1288763,"[[2, 0, 18, 25, 3, 1, 24], [16, 17, 5, 26, 7, 23, 22], [11, 6, 20, 21, 9, 28, 12], [14, 10, 29, 27, 4, 13, 19], [8, 15]]",224.4089307
30,10,100,15,3,3,0.5,115,25,"[18, 0, 25, 9, 2, 15, 1, 24, 8, 12, 10, 3, 14, 27, 13, 19, 4, 5, 26, 16, 7, 20, 6, 21, 28, 17, 11, 29, 22, 23, 18]",116.5080237,"[[9, 2, 15, 1, 24, 8, 12], [10, 3, 14, 27, 13, 19, 4], [5, 26, 16, 7, 20, 6, 21], [28, 17, 11, 29, 22, 23, 18], [0, 25]]",177.1049406
30,10,100,15,3,3,0.5,115,30,"[24, 15, 2, 1, 9, 21, 6, 20, 13, 19, 8, 12, 0, 18, 25, 3, 10, 14, 17, 16, 27, 4, 5, 7, 26, 23, 11, 22, 29, 28, 24]",135.0599112,"[[2, 1, 9, 21, 6, 20, 13], [19, 8, 12, 0, 18, 25, 3], [10, 14, 17, 16, 27, 4, 5], [7, 26, 23, 11, 22, 29, 28], [24, 15]]",180.2467529
